transaction_id,customer_id,product_id,quantity,price,total_amount,date
71,72,19,1,355.35,355.35,2023-11-02
72,66,19,3,340.39,1021.18,2023-10-09
73,315,117,1,335.38,335.38,2023-03-03
74,382,45,2,285.26,570.51,2023-12-28
75,58,55,3,327.42,982.26,2023-10-20
76,10,29,2,491.53,983.06,2023-02-08
77,72,57,3,330.1,990.31,2023-01-12
78,171,84,4,156.94,627.75,2023-02-12
79,481,31,1,262.96,262.96,2023-01-20
80,206,73,4,6.14,24.55,2023-09-22
81,446,103,4,147.82,591.28,2023-02-24
82,22,39,3,376.23,1128.7,2023-01-14
83,371,32,1,37.14,37.14,2023-04-21
84,164,27,1,221.2,221.2,2023-08-19
85,91,9,3,109.13,327.39,2023-01-28
86,134,87,4,551.36,2205.44,2023-10-21
87,321,96,1,374.09,374.09,2023-01-02
88,258,105,1,296.54,296.54,2023-07-28
89,20,93,2,258.99,517.98,2023-04-22
90,324,67,4,103.58,414.34,2023-11-20
91,329,103,4,130.38,521.54,2023-02-09
92,97,7,3,403.27,1209.81,2023-12-23
93,77,42,2,368.44,736.89,2023-11-07
94,129,72,4,499.32,1997.28,2023-01-24
95,159,27,3,305.29,915.86,2023-07-15
96,273,80,2,344.27,688.54,2023-11-17
97,471,56,1,125.02,125.02,2023-05-01
98,155,103,3,134.21,402.64,2023-10-04
99,422,115,1,380.54,380.54,2023-12-08
100,214,6,1,365.95,365.95,2023-02-13
101,45,111,4,306.1,1224.4,2023-07-25
102,457,120,1,297.52,297.52,2023-03-04
103,360,64,4,294.75,1178.99,2023-05-18
104,136,1,1,518.16,518.16,2023-08-09
105,450,69,1,222.03,222.03,2023-02-13
106,236,104,2,479.69,959.37,2023-06-25
107,461,69,2,287.77,575.54,2023-08-25
108,215,71,3,402.3,1206.91,2023-05-07
109,267,42,1,305.94,305.94,2023-12-20
110,347,66,4,38.59,154.34,2023-05-27
111,108,71,1,304.76,304.76,2023-05-11
112,133,36,2,551.14,1102.28,2023-05-13
113,442,85,2,49.12,98.24,2023-09-10
114,180,57,2,239.58,479.16,2023-09-16
115,445,25,3,425.29,1275.87,2023-09-15
116,63,8,4,416.07,1664.28,2023-12-30
117,278,22,2,28.79,57.58,2023-07-18
118,283,53,3,397.67,1193.01,2023-08-13
119,45,29,2,336.07,672.15,2023-05-11
120,346,25,3,483.58,1450.74,2023-11-03
121,51,110,2,156.26,312.53,2023-06-29
122,231,6,4,326.28,1305.14,2023-12-14
123,47,118,1,126.94,126.94,2023-12-19
124,288,52,2,135.77,271.54,2023-08-21
125,254,4,2,245.27,490.54,2023-04-13
126,154,46,4,34.18,136.71,2023-02-10
127,296,5,4,445.73,1782.9,2023-10-02
128,344,47,4,227.94,911.74,2023-08-04
129,138,3,4,286.73,1146.92,2023-06-29
130,223,105,3,288.19,864.56,2023-12-03
131,410,41,4,310.56,1242.26,2023-08-23
132,494,119,4,104.18,416.74,2023-06-01
133,416,2,1,187.36,187.36,2023-02-26
134,381,45,1,346.47,346.47,2023-10-28
135,206,71,3,375.99,1127.97,2023-05-15
136,181,72,2,442.02,884.04,2023-09-10
137,473,111,4,250.34,1001.36,2023-08-18
138,32,54,4,495.85,1983.39,2023-11-16
139,359,98,4,243.87,975.48,2023-12-15
140,271,89,1,217.12,217.12,2023-02-22
141,98,44,4,311.47,1245.88,2023-06-14
142,261,12,2,518.54,1037.08,2023-12-20
143,284,90,4,24.41,97.65,2023-06-11
144,442,13,1,219.19,219.19,2023-12-03
145,200,30,4,490.95,1963.81,2023-12-17
146,331,96,2,345.14,690.29,2023-07-11
147,90,20,4,209.8,839.19,2023-12-04
148,146,9,1,118.07,118.07,2023-11-03
149,51,6,4,460.01,1840.05,2023-05-08
150,243,23,4,447.15,1788.61,2023-08-15
151,190,73,2,7.91,15.81,2023-06-18
152,433,99,2,144.62,289.24,2023-10-28
153,313,79,3,102.58,307.74,2023-03-21
154,155,15,4,101.51,406.06,2023-11-22
155,479,101,2,232.37,464.74,2023-11-27
156,267,113,3,166.05,498.15,2023-07-24
157,186,86,1,399.5,399.5,2023-08-09
158,72,35,2,145.41,290.83,2023-03-22
159,109,16,2,179.69,359.37,2023-06-04
160,112,64,2,242.55,485.1,2023-10-19
161,409,98,3,297.17,891.5,2023-01-03
162,270,41,3,244.93,734.8,2023-12-17
163,99,5,2,351.46,702.92,2023-11-12
164,102,74,2,404.02,808.03,2023-08-27
165,82,105,1,334.35,334.35,2023-08-10
166,79,106,4,386.6,1546.39,2023-02-24
167,173,107,2,122.29,244.59,2023-04-23
168,62,102,3,360.07,1080.21,2023-04-19
169,157,83,3,260.08,780.23,2023-07-19
170,374,49,4,125.43,501.73,2023-02-20
171,353,102,3,357.27,1071.8,2023-03-26
172,76,9,1,138.64,138.64,2023-06-25
173,383,107,4,130.78,523.12,2023-07-30
174,270,110,3,123.35,370.04,2023-08-06
175,347,113,2,214.64,429.29,2023-12-09
176,35,1,2,450.44,900.87,2023-03-06
177,36,54,3,488.11,1464.32,2023-06-24
178,430,67,3,136.41,409.23,2023-05-24
179,452,8,2,332.7,665.39,2023-12-22
180,91,39,3,485.72,1457.16,2023-09-28
181,295,15,4,93.78,375.13,2023-07-07
182,134,58,4,125.49,501.95,2023-09-27
183,177,111,2,309.47,618.95,2023-12-20
184,90,87,1,572.75,572.75,2023-08-29
185,345,47,3,205.21,615.62,2023-06-23
186,486,42,4,331.37,1325.49,2023-06-13
187,185,2,4,151.42,605.69,2023-08-17
188,8,72,2,426.99,853.98,2023-12-23
189,399,94,4,184.96,739.83,2023-09-05
190,210,57,3,256.13,768.4,2023-07-07
191,263,58,2,118.68,237.36,2023-05-22
192,493,43,4,273.9,1095.6,2023-09-17
193,219,118,3,166.49,499.48,2023-06-08
194,97,28,3,484.56,1453.69,2023-03-19
195,365,102,3,437.33,1311.98,2023-01-07
196,400,40,3,108.72,326.17,2023-05-28
197,210,14,3,225.89,677.68,2023-06-20
198,100,105,4,240.92,963.67,2023-05-24
199,271,102,2,363.57,727.15,2023-07-15
200,124,99,3,132.11,396.33,2023-04-04
201,186,63,3,407.0,1221.0,2023-09-28
202,215,68,1,401.48,401.48,2023-12-01
203,434,23,1,350.54,350.54,2023-10-16
204,242,27,2,241.86,483.72,2023-01-24
205,383,58,3,154.89,464.68,2023-12-01
206,292,83,2,271.02,542.04,2023-10-02
207,465,10,2,348.89,697.78,2023-12-29
208,187,70,1,197.39,197.39,2023-04-15
209,456,78,4,122.48,489.93,2023-03-22
210,332,10,2,408.68,817.36,2023-01-03
211,449,42,4,420.89,1683.55,2023-03-09
212,486,110,3,136.42,409.26,2023-09-05
213,193,1,1,400.21,400.21,2023-01-15
214,400,79,3,123.09,369.27,2023-04-15
215,221,93,2,275.36,550.73,2023-04-10
216,367,93,2,319.55,639.1,2023-09-26
217,358,58,3,137.57,412.72,2023-07-26
218,146,79,4,139.05,556.19,2023-02-02
219,322,44,3,343.51,1030.52,2023-11-01
220,239,109,1,360.29,360.29,2023-06-24
221,409,24,4,326.89,1307.55,2023-02-18
222,473,34,2,541.57,1083.14,2023-08-30
223,26,100,3,55.21,165.64,2023-04-01
224,199,63,4,418.51,1674.02,2023-09-14
225,99,45,1,392.28,392.28,2023-11-01
226,392,79,1,118.16,118.16,2023-05-07
227,463,23,3,421.05,1263.14,2023-05-25
228,124,67,1,135.63,135.63,2023-09-15
229,342,22,1,37.68,37.68,2023-04-01
230,145,78,2,173.84,347.68,2023-09-13
231,97,57,4,305.86,1223.45,2023-12-21
232,36,72,3,384.44,1153.33,2023-10-29
233,105,27,4,318.44,1273.78,2023-09-18
234,169,63,3,359.66,1078.98,2023-10-13
235,425,96,2,421.26,842.53,2023-02-12
236,176,1,3,437.97,1313.91,2023-03-27
237,205,6,3,374.78,1124.33,2023-09-05
238,434,78,3,162.91,488.72,2023-09-11
239,299,68,1,570.64,570.64,2023-04-05
240,34,6,4,428.11,1712.44,2023-10-12
241,89,88,4,183.08,732.3,2023-04-20
242,496,32,3,42.81,128.42,2023-08-09
243,139,31,2,196.07,392.14,2023-02-21
244,481,45,3,306.67,920.02,2023-10-19
245,281,47,3,201.21,603.62,2023-10-02
246,206,26,1,297.45,297.45,2023-10-12
247,301,117,3,367.73,1103.18,2023-01-30
248,20,39,2,504.2,1008.41,2023-04-13
249,247,115,3,393.93,1181.79,2023-08-10
250,321,8,2,300.81,601.61,2023-03-13
251,500,92,2,37.15,74.3,2023-03-25
252,76,7,2,461.42,922.84,2023-02-10
253,425,84,2,157.08,314.16,2023-02-07
254,491,7,2,491.63,983.27,2023-06-11
255,153,42,2,301.37,602.74,2023-11-21
256,267,119,2,153.69,307.39,2023-12-05
257,80,49,4,138.34,553.36,2023-02-17
258,301,53,4,454.75,1819.02,2023-04-17
259,154,73,4,7.93,31.7,2023-04-17
260,61,67,1,143.34,143.34,2023-01-10
261,272,1,4,540.04,2160.16,2023-09-14
262,130,19,2,304.74,609.47,2023-01-05
263,496,19,2,270.44,540.87,2023-01-03
264,12,60,3,11.43,34.29,2023-06-30
265,214,1,3,534.41,1603.22,2023-09-15
266,72,120,3,294.45,883.34,2023-07-29
267,349,15,3,97.81,293.43,2023-01-01
268,177,95,4,216.9,867.6,2023-08-19
269,381,31,4,210.07,840.27,2023-07-28
270,186,89,1,195.06,195.06,2023-04-21
271,30,47,4,259.62,1038.48,2023-05-02
272,395,28,2,495.3,990.6,2023-03-14
273,237,97,3,438.83,1316.49,2023-02-16
274,41,17,2,185.69,371.37,2023-01-08
275,305,10,2,375.78,751.57,2023-03-05
276,15,104,4,428.9,1715.58,2023-10-12
277,63,107,4,145.61,582.42,2023-01-25
278,178,14,4,207.2,828.79,2023-05-20
279,206,119,4,136.63,546.51,2023-09-17
280,245,23,2,453.33,906.66,2023-05-21
281,45,17,3,221.45,664.34,2023-07-13
282,26,84,1,197.72,197.72,2023-03-21
283,415,11,2,105.11,210.22,2023-10-26
284,2,66,3,44.97,134.9,2023-03-29
285,115,92,3,36.93,110.78,2023-07-06
286,430,22,1,30.04,30.04,2023-06-07
287,344,97,3,470.28,1410.85,2023-02-01
288,242,91,2,44.04,88.07,2023-09-06
289,114,82,2,380.29,760.58,2023-09-10
290,485,47,2,199.05,398.09,2023-02-19
291,431,88,2,197.77,395.53,2023-08-27
292,339,18,1,331.86,331.86,2023-10-17
293,300,33,2,92.68,185.35,2023-07-06
294,61,16,3,182.03,546.08,2023-04-25
295,247,91,4,39.52,158.07,2023-06-20
296,55,35,4,121.12,484.47,2023-07-12
297,409,99,3,143.96,431.88,2023-03-11
298,394,2,1,201.37,201.37,2023-08-30
299,13,59,2,339.64,679.28,2023-08-09
300,106,96,3,447.71,1343.14,2023-07-06
301,110,107,1,141.78,141.78,2023-02-02
302,484,117,4,355.1,1420.41,2023-02-01
303,82,44,4,270.01,1080.05,2023-11-14
304,166,6,4,464.55,1858.19,2023-01-24
305,190,34,4,482.18,1928.71,2023-12-24
306,339,32,2,38.39,76.78,2023-01-29
307,431,48,4,352.08,1408.32,2023-05-01
308,384,23,4,385.18,1540.7,2023-04-17
309,481,56,2,122.28,244.55,2023-04-19
310,376,15,3,102.0,306.0,2023-11-29
311,322,89,1,231.56,231.56,2023-06-07
312,166,103,1,124.94,124.94,2023-06-09
313,378,28,1,480.96,480.96,2023-03-11
314,78,120,3,230.81,692.43,2023-04-13
315,10,87,1,438.76,438.76,2023-12-25
316,220,6,4,417.96,1671.83,2023-12-12
317,28,59,4,467.55,1870.21,2023-07-11
318,119,3,4,229.88,919.53,2023-06-09
319,167,86,2,481.51,963.03,2023-12-10
320,77,27,1,252.66,252.66,2023-08-19
321,363,50,3,14.98,44.93,2023-01-26
322,417,44,3,263.72,791.17,2023-01-13
323,97,12,1,423.03,423.03,2023-07-27
324,145,100,2,59.15,118.3,2023-04-30
325,477,30,4,524.26,2097.05,2023-04-25
326,456,24,4,271.21,1084.83,2023-08-11
327,294,36,2,450.62,901.25,2023-05-21
328,370,20,3,222.25,666.75,2023-03-28
329,393,62,2,348.21,696.42,2023-09-15
330,385,97,3,426.58,1279.75,2023-09-01
331,319,84,4,156.05,624.2,2023-05-24
332,494,2,3,186.23,558.68,2023-09-22
333,234,23,2,410.25,820.5,2023-07-17
334,43,97,3,394.23,1182.69,2023-06-25
335,397,89,2,255.41,510.83,2023-11-08
336,347,6,3,443.62,1330.87,2023-02-08
337,250,105,1,232.32,232.32,2023-08-05
338,269,34,3,500.34,1501.03,2023-07-16
339,14,24,2,323.79,647.58,2023-04-28
340,166,1,3,513.12,1539.35,2023-05-07
341,445,12,4,464.07,1856.26,2023-01-18
342,261,81,3,510.83,1532.48,2023-09-17
343,372,82,2,468.22,936.43,2023-03-11
344,226,70,1,219.32,219.32,2023-09-12
345,53,69,4,297.52,1190.08,2023-08-06
346,170,35,2,158.92,317.83,2023-05-31
347,223,76,2,12.19,24.39,2023-11-11
348,287,26,2,311.52,623.04,2023-07-11
349,368,77,2,61.28,122.56,2023-11-27
350,298,114,2,371.24,742.49,2023-03-26
351,185,14,1,207.56,207.56,2023-05-22
352,280,11,1,128.24,128.24,2023-08-25
353,277,92,4,36.09,144.36,2023-01-24
354,240,40,4,88.68,354.73,2023-10-30
355,458,32,1,45.14,45.14,2023-08-03
356,406,61,1,190.36,190.36,2023-05-11
357,434,64,1,312.86,312.86,2023-08-28
358,280,22,4,26.69,106.75,2023-03-28
359,197,70,2,224.37,448.74,2023-07-27
360,500,9,2,125.9,251.81,2023-03-20
361,335,112,2,63.96,127.91,2023-08-18
362,154,12,3,398.86,1196.58,2023-12-19
363,211,108,3,499.38,1498.13,2023-05-09
364,69,24,1,286.98,286.98,2023-08-27
365,458,7,2,509.72,1019.43,2023-06-20
366,183,58,1,115.57,115.57,2023-09-05
367,472,48,1,307.85,307.85,2023-07-14
368,386,80,1,336.59,336.59,2023-07-02
369,15,11,3,120.52,361.57,2023-02-21
370,273,20,1,194.28,194.28,2023-09-20
371,19,6,1,433.73,433.73,2023-08-28
372,222,93,3,323.53,970.58,2023-11-16
373,41,90,4,19.01,76.05,2023-03-06
374,266,8,2,401.46,802.91,2023-10-01
375,154,110,2,140.24,280.48,2023-09-03
376,193,51,3,163.64,490.92,2023-04-30
377,336,107,4,107.48,429.9,2023-03-31
378,168,118,4,152.4,609.59,2023-04-06
379,129,102,2,410.97,821.94,2023-06-07
380,29,4,3,311.94,935.82,2023-08-29
381,276,58,3,144.01,432.04,2023-09-29
382,474,28,4,358.13,1432.52,2023-06-08
383,489,59,3,428.78,1286.34,2023-07-01
384,288,98,1,256.89,256.89,2023-12-01
385,397,15,3,103.7,311.09,2023-01-02
386,298,53,3,512.23,1536.68,2023-12-08
387,254,55,1,367.61,367.61,2023-12-03
388,296,80,4,347.61,1390.46,2023-06-29
389,485,111,3,252.86,758.58,2023-07-20
390,473,118,3,130.2,390.61,2023-09-27
391,445,102,4,414.36,1657.44,2023-08-24
392,348,7,3,450.42,1351.27,2023-09-01
393,310,92,1,41.58,41.58,2023-07-20
394,264,35,1,152.41,152.41,2023-03-10
395,284,45,1,355.03,355.03,2023-09-04
396,405,95,4,209.23,836.9,2023-05-18
397,78,100,2,70.6,141.21,2023-07-13
398,275,32,2,49.35,98.7,2023-08-11
399,36,94,4,220.48,881.91,2023-07-24
400,278,45,4,422.85,1691.41,2023-07-01
401,257,36,2,384.66,769.32,2023-02-28
402,402,46,4,29.27,117.09,2023-09-05
403,308,79,1,117.77,117.77,2023-07-02
404,265,47,4,226.13,904.53,2023-08-05
405,193,61,3,172.37,517.11,2023-07-09
406,387,73,4,6.72,26.89,2023-09-29
407,34,21,4,34.31,137.23,2023-11-17
408,418,116,3,175.17,525.52,2023-01-20
409,283,6,4,399.01,1596.03,2023-09-14
410,272,104,4,571.8,2287.21,2023-11-27
411,451,74,3,394.28,1182.84,2023-02-21
412,435,111,2,288.83,577.65,2023-06-22
413,342,78,2,158.72,317.44,2023-03-20
414,102,94,4,225.24,900.95,2023-02-20
415,206,77,4,48.48,193.93,2023-07-04
416,479,70,3,247.04,741.11,2023-09-02
417,437,39,3,478.13,1434.4,2023-11-14
418,377,54,3,543.94,1631.83,2023-07-30
419,476,117,2,453.95,907.9,2023-10-23
420,35,46,1,32.98,32.98,2023-07-06
421,69,5,2,471.34,942.68,2023-04-08
422,256,117,1,411.51,411.51,2023-08-28
423,437,68,1,525.25,525.25,2023-12-20
424,72,50,2,17.93,35.86,2023-05-31
425,169,60,3,12.26,36.77,2023-03-28
426,182,19,3,284.61,853.82,2023-09-12
427,363,85,1,55.1,55.1,2023-04-29
428,299,52,3,143.45,430.35,2023-03-29
429,345,101,4,245.08,980.32,2023-12-23
430,431,99,2,137.6,275.19,2023-01-29
431,469,35,3,151.28,453.84,2023-12-24
432,24,99,1,99.6,99.6,2023-03-31
433,388,35,3,158.07,474.2,2023-02-02
434,362,31,3,219.84,659.53,2023-09-25
435,126,104,3,550.54,1651.62,2023-03-22
436,147,9,1,113.3,113.3,2023-08-16
437,492,68,1,563.0,563.0,2023-09-04
438,62,108,1,430.22,430.22,2023-10-10
439,82,7,2,433.58,867.16,2023-06-24
440,321,76,4,17.2,68.79,2023-11-29
441,483,1,3,444.52,1333.56,2023-03-12
442,220,12,2,402.8,805.59,2023-03-19
443,68,37,4,395.04,1580.17,2023-04-05
444,295,40,4,89.64,358.58,2023-08-29
445,387,108,4,438.7,1754.78,2023-04-20
446,80,29,3,405.39,1216.17,2023-01-11
447,47,52,3,151.95,455.84,2023-03-21
448,132,53,2,541.36,1082.72,2023-04-13
449,93,100,2,55.69,111.39,2023-03-22
450,164,107,2,139.6,279.19,2023-02-14
451,157,21,4,28.09,112.34,2023-07-12
452,147,68,4,432.58,1730.33,2023-10-05
453,86,106,1,358.03,358.03,2023-11-14
454,339,51,1,126.51,126.51,2023-06-25
455,304,108,3,403.04,1209.12,2023-04-05
456,372,20,1,236.45,236.45,2023-08-27
457,329,14,4,242.98,971.9,2023-11-22
458,324,22,4,32.86,131.43,2023-04-10
459,287,84,2,163.96,327.92,2023-10-10
460,177,89,1,233.15,233.15,2023-09-07
461,303,58,2,123.73,247.45,2023-08-24
462,69,102,1,386.65,386.65,2023-12-06
463,41,19,2,396.97,793.94,2023-07-31
464,185,97,2,395.14,790.27,2023-08-17
465,398,59,4,400.2,1600.8,2023-05-22
466,319,19,4,339.73,1358.9,2023-07-08
467,494,53,2,364.93,729.87,2023-06-22
468,309,44,4,307.99,1231.94,2023-05-19
469,310,9,1,108.84,108.84,2023-04-15
470,104,118,2,125.68,251.36,2023-08-21
471,395,60,3,13.0,39.01,2023-02-27
472,70,55,4,398.11,1592.45,2023-07-06
473,28,19,2,364.9,729.79,2023-02-17
474,500,112,1,63.31,63.31,2023-03-04
475,433,111,2,233.8,467.59,2023-02-16
476,1,43,1,281.38,281.38,2023-07-17
477,371,74,1,480.64,480.64,2023-06-19
478,479,89,4,249.5,998.0,2023-08-11
479,422,92,4,50.06,200.24,2023-03-12
480,354,41,4,223.02,892.08,2023-09-06
481,31,88,4,167.28,669.1,2023-09-16
482,384,89,3,218.43,655.29,2023-02-18
483,287,95,4,207.92,831.66,2023-06-16
484,219,37,3,338.81,1016.42,2023-07-23
485,497,100,2,69.61,139.22,2023-01-27
486,390,3,1,317.29,317.29,2023-07-05
487,139,97,1,408.67,408.67,2023-01-26
488,66,6,3,425.92,1277.77,2023-07-15
489,249,52,3,149.64,448.91,2023-06-05
490,188,31,2,234.59,469.18,2023-06-09
491,252,118,1,166.56,166.56,2023-04-17
492,375,58,4,157.65,630.6,2023-02-28
493,12,83,2,262.81,525.62,2023-02-03
494,126,33,1,87.23,87.23,2023-08-01
495,51,27,4,252.61,1010.42,2023-02-01
496,33,35,1,139.75,139.75,2023-06-02
497,7,38,1,60.11,60.11,2023-02-23
498,230,25,4,496.96,1987.82,2023-10-07
499,276,68,1,583.32,583.32,2023-12-17
500,311,36,4,472.67,1890.67,2023-10-30
501,445,89,2,194.29,388.57,2023-09-01
502,397,16,4,247.38,989.51,2023-03-21
503,285,103,2,143.6,287.19,2023-09-01
504,13,51,2,167.97,335.95,2023-01-11
505,321,43,4,216.58,866.31,2023-12-15
506,69,34,1,558.13,558.13,2023-04-03
507,461,116,3,185.01,555.02,2023-12-18
508,361,120,4,218.58,874.33,2023-09-15
509,4,32,2,52.51,105.02,2023-08-26
510,365,20,1,160.43,160.43,2023-04-28
511,492,15,4,86.62,346.49,2023-12-22
512,225,37,3,360.81,1082.42,2023-08-02
513,97,21,4,25.85,103.41,2023-09-13
514,240,101,1,196.91,196.91,2023-09-10
515,8,62,3,373.58,1120.73,2023-01-25
516,377,17,1,186.82,186.82,2023-08-15
517,73,59,3,341.55,1024.65,2023-10-25
518,247,99,4,109.58,438.33,2023-11-22
519,465,94,3,173.35,520.05,2023-11-03
520,34,53,1,531.71,531.71,2023-06-14
521,381,98,4,213.61,854.42,2023-05-02
522,185,28,4,367.5,1470.01,2023-11-09
523,133,22,2,25.93,51.86,2023-12-14
524,493,117,3,421.51,1264.53,2023-08-16
525,177,88,3,171.01,513.02,2023-02-04
526,491,64,3,268.31,804.93,2023-08-18
527,297,108,2,416.8,833.61,2023-05-11
528,201,88,4,164.48,657.93,2023-08-18
529,245,10,3,363.93,1091.8,2023-04-13
530,406,43,2,216.17,432.34,2023-05-22
531,239,2,2,172.64,345.29,2023-10-21
532,63,49,1,125.97,125.97,2023-01-31
533,177,64,4,284.65,1138.59,2023-01-31
534,462,82,1,377.67,377.67,2023-04-30
535,108,8,3,286.08,858.24,2023-08-06
536,260,65,2,147.54,295.08,2023-08-22
537,225,118,4,165.4,661.59,2023-12-08
538,324,14,4,228.3,913.2,2023-05-18
539,120,40,4,82.07,328.26,2023-08-11
540,14,41,3,318.8,956.39,2023-10-08
541,131,76,2,13.69,27.39,2023-11-22
542,101,91,4,37.79,151.14,2023-09-17
543,263,60,2,15.23,30.46,2023-06-12
544,442,6,3,318.26,954.78,2023-05-19
545,477,36,2,469.06,938.12,2023-02-16
546,476,4,2,260.79,521.58,2023-02-12
547,482,74,3,399.56,1198.68,2023-01-03
548,152,21,1,28.63,28.63,2023-06-04
549,154,33,2,106.33,212.66,2023-10-14
550,319,56,1,108.9,108.9,2023-07-12
551,137,20,1,222.31,222.31,2023-04-29
552,260,62,3,432.76,1298.28,2023-01-04
553,127,109,3,399.01,1197.04,2023-03-01
554,411,21,3,26.28,78.84,2023-04-14
555,95,30,3,445.21,1335.63,2023-12-29
556,269,80,3,347.63,1042.89,2023-07-12
557,160,30,3,535.3,1605.89,2023-11-25
558,312,74,4,456.84,1827.35,2023-03-10
559,156,50,2,16.36,32.73,2023-02-15
560,191,43,1,237.34,237.34,2023-02-28
561,88,34,2,433.49,866.99,2023-06-02
562,429,80,4,262.56,1050.24,2023-07-17
563,74,42,2,295.89,591.78,2023-09-22
564,229,79,3,102.62,307.87,2023-01-09
565,6,80,1,348.14,348.14,2023-05-23
566,390,30,3,426.74,1280.22,2023-04-02
567,262,53,3,434.74,1304.23,2023-11-11
568,442,58,4,124.78,499.12,2023-09-24
569,250,19,3,297.87,893.6,2023-10-01
570,420,78,3,138.48,415.43,2023-10-19
571,221,82,1,355.75,355.75,2023-02-08
572,188,4,1,297.11,297.11,2023-11-20
573,155,45,4,406.86,1627.46,2023-01-22
574,151,86,4,488.74,1954.96,2023-10-06
575,43,88,4,202.16,808.63,2023-10-05
576,4,112,2,65.01,130.02,2023-09-17
577,315,88,2,217.34,434.67,2023-12-31
578,199,50,2,16.47,32.94,2023-04-16
579,355,104,2,488.41,976.83,2023-09-02
580,409,87,1,559.56,559.56,2023-08-26
581,319,106,1,443.06,443.06,2023-03-28
582,205,116,1,143.77,143.77,2023-04-25
583,57,105,3,294.49,883.46,2023-05-26
584,281,90,3,24.27,72.81,2023-12-10
585,312,61,4,239.03,956.12,2023-07-12
586,318,65,1,166.81,166.81,2023-07-01
587,288,73,2,7.85,15.71,2023-01-02
588,366,84,3,193.31,579.93,2023-11-06
589,283,31,1,211.63,211.63,2023-10-09
590,7,43,2,308.02,616.04,2023-12-26
591,370,26,2,237.02,474.05,2023-10-29
592,376,5,4,358.36,1433.46,2023-12-30
593,6,11,3,113.85,341.56,2023-10-22
594,488,14,3,254.79,764.36,2023-06-09
595,296,56,2,108.63,217.26,2023-09-22
596,11,46,3,30.83,92.48,2023-09-04
597,233,99,4,119.59,478.35,2023-10-07
598,285,66,1,44.8,44.8,2023-01-23
599,350,13,2,174.52,349.04,2023-05-23
600,381,24,4,279.24,1116.97,2023-07-27
