transaction_id,customer_id,product_id,quantity,price,total_amount,date,year,month,day,day_of_week,effective_price
33,72,106,1,359.35,359.35,2023-03-17,2023,3,17,4,359.35
34,362,12,3,447.69,1343.06,2023-08-09,2023,8,9,2,447.68666666666667
35,40,113,1,218.1,218.1,2023-09-14,2023,9,14,3,218.1
36,6,76,4,17.47,69.86,2023-12-29,2023,12,29,4,17.465
37,110,85,3,57.46,172.39,2023-04-14,2023,4,14,4,57.46333333333333
38,243,98,1,307.82,307.82,2023-05-25,2023,5,25,3,307.82
39,381,12,1,391.43,391.43,2023-07-21,2023,7,21,4,391.43
40,378,13,2,183.77,367.55,2023-03-04,2023,3,4,5,183.775
41,118,35,1,115.67,115.67,2023-02-21,2023,2,21,1,115.67
42,454,100,2,74.54,149.08,2023-05-12,2023,5,12,4,74.54
43,86,85,4,42.54,170.15,2023-04-23,2023,4,23,6,42.5375
44,352,14,3,215.89,647.68,2023-09-28,2023,9,28,3,215.89333333333332
45,345,100,1,72.37,72.37,2023-11-15,2023,11,15,2,72.37
46,169,41,4,273.85,1095.41,2023-02-11,2023,2,11,5,273.8525
47,211,97,3,441.41,1324.23,2023-01-16,2023,1,16,0,441.41
48,38,9,4,131.78,527.13,2023-09-15,2023,9,15,4,131.7825
49,155,55,3,405.03,1215.08,2023-07-15,2023,7,15,5,405.02666666666664
50,252,9,1,108.34,108.34,2023-02-23,2023,2,23,3,108.34
51,185,8,4,389.39,1557.55,2023-02-25,2023,2,25,5,389.3875
52,70,117,1,423.17,423.17,2023-04-27,2023,4,27,3,423.17
53,352,113,4,189.53,758.1,2023-04-23,2023,4,23,6,189.525
54,393,87,2,514.47,1028.93,2023-04-15,2023,4,15,5,514.465
55,374,119,4,119.4,477.59,2023-03-30,2023,3,30,3,119.3975
56,30,109,2,357.57,715.14,2023-11-29,2023,11,29,2,357.57
57,131,9,4,105.61,422.42,2023-05-05,2023,5,5,4,105.605
58,393,43,4,222.83,891.34,2023-05-21,2023,5,21,6,222.835
59,248,106,3,346.17,1038.52,2023-05-20,2023,5,20,5,346.17333333333335
60,27,24,2,277.99,555.98,2023-05-03,2023,5,3,2,277.99
61,347,69,2,293.52,587.03,2023-04-11,2023,4,11,1,293.515
62,130,93,2,256.01,512.01,2023-02-28,2023,2,28,1,256.005
63,498,14,1,247.99,247.99,2023-11-12,2023,11,12,6,247.99
64,283,113,4,171.26,685.05,2023-02-14,2023,2,14,1,171.2625
65,60,62,1,340.52,340.52,2023-08-25,2023,8,25,4,340.52
66,205,113,2,166.29,332.59,2023-02-28,2023,2,28,1,166.295
67,160,33,1,105.6,105.6,2023-07-06,2023,7,6,3,105.6
68,435,110,3,124.68,374.03,2023-07-26,2023,7,26,2,124.67666666666666
69,430,2,1,207.49,207.49,2023-01-26,2023,1,26,3,207.49
70,252,50,3,17.07,51.21,2023-06-10,2023,6,10,5,17.07
71,72,19,1,355.35,355.35,2023-11-02,2023,11,2,3,355.35
72,66,19,3,340.39,1021.18,2023-10-09,2023,10,9,0,340.3933333333333
73,315,117,1,335.38,335.38,2023-03-03,2023,3,3,4,335.38
74,382,45,2,285.26,570.51,2023-12-28,2023,12,28,3,285.255
75,58,55,3,327.42,982.26,2023-10-20,2023,10,20,4,327.42
76,10,29,2,491.53,983.06,2023-02-08,2023,2,8,2,491.53
77,72,57,3,330.1,990.31,2023-01-12,2023,1,12,3,330.1033333333333
78,171,84,4,156.94,627.75,2023-02-12,2023,2,12,6,156.9375
79,481,31,1,262.96,262.96,2023-01-20,2023,1,20,4,262.96
80,206,73,4,6.14,24.55,2023-09-22,2023,9,22,4,6.1375
81,446,103,4,147.82,591.28,2023-02-24,2023,2,24,4,147.82
82,22,39,3,376.23,1128.7,2023-01-14,2023,1,14,5,376.23333333333335
83,371,32,1,37.14,37.14,2023-04-21,2023,4,21,4,37.14
84,164,27,1,221.2,221.2,2023-08-19,2023,8,19,5,221.2
85,91,9,3,109.13,327.39,2023-01-28,2023,1,28,5,109.13
86,134,87,4,551.36,2205.44,2023-10-21,2023,10,21,5,551.36
87,321,96,1,374.09,374.09,2023-01-02,2023,1,2,0,374.09
88,258,105,1,296.54,296.54,2023-07-28,2023,7,28,4,296.54
89,20,93,2,258.99,517.98,2023-04-22,2023,4,22,5,258.99
90,324,67,4,103.58,414.34,2023-11-20,2023,11,20,0,103.585
91,329,103,4,130.38,521.54,2023-02-09,2023,2,9,3,130.385
92,97,7,3,403.27,1209.81,2023-12-23,2023,12,23,5,403.27
93,77,42,2,368.44,736.89,2023-11-07,2023,11,7,1,368.445
94,129,72,4,499.32,1997.28,2023-01-24,2023,1,24,1,499.32
95,159,27,3,305.29,915.86,2023-07-15,2023,7,15,5,305.2866666666667
96,273,80,2,344.27,688.54,2023-11-17,2023,11,17,4,344.27
97,471,56,1,125.02,125.02,2023-05-01,2023,5,1,0,125.02
98,155,103,3,134.21,402.64,2023-10-04,2023,10,4,2,134.21333333333334
99,422,115,1,380.54,380.54,2023-12-08,2023,12,8,4,380.54
100,214,6,1,365.95,365.95,2023-02-13,2023,2,13,0,365.95
101,45,111,4,306.1,1224.4,2023-07-25,2023,7,25,1,306.1
102,457,120,1,297.52,297.52,2023-03-04,2023,3,4,5,297.52
103,360,64,4,294.75,1178.99,2023-05-18,2023,5,18,3,294.7475
104,136,1,1,518.16,518.16,2023-08-09,2023,8,9,2,518.16
105,450,69,1,222.03,222.03,2023-02-13,2023,2,13,0,222.03
106,236,104,2,479.69,959.37,2023-06-25,2023,6,25,6,479.685
107,461,69,2,287.77,575.54,2023-08-25,2023,8,25,4,287.77
108,215,71,3,402.3,1206.91,2023-05-07,2023,5,7,6,402.30333333333334
109,267,42,1,305.94,305.94,2023-12-20,2023,12,20,2,305.94
110,347,66,4,38.59,154.34,2023-05-27,2023,5,27,5,38.585
111,108,71,1,304.76,304.76,2023-05-11,2023,5,11,3,304.76
112,133,36,2,551.14,1102.28,2023-05-13,2023,5,13,5,551.14
113,442,85,2,49.12,98.24,2023-09-10,2023,9,10,6,49.12
114,180,57,2,239.58,479.16,2023-09-16,2023,9,16,5,239.58
115,445,25,3,425.29,1275.87,2023-09-15,2023,9,15,4,425.28999999999996
116,63,8,4,416.07,1664.28,2023-12-30,2023,12,30,5,416.07
117,278,22,2,28.79,57.58,2023-07-18,2023,7,18,1,28.79
118,283,53,3,397.67,1193.01,2023-08-13,2023,8,13,6,397.67
119,45,29,2,336.07,672.15,2023-05-11,2023,5,11,3,336.075
120,346,25,3,483.58,1450.74,2023-11-03,2023,11,3,4,483.58
121,51,110,2,156.26,312.53,2023-06-29,2023,6,29,3,156.265
122,231,6,4,326.28,1305.14,2023-12-14,2023,12,14,3,326.285
123,47,118,1,126.94,126.94,2023-12-19,2023,12,19,1,126.94
124,288,52,2,135.77,271.54,2023-08-21,2023,8,21,0,135.77
125,254,4,2,245.27,490.54,2023-04-13,2023,4,13,3,245.27
126,154,46,4,34.18,136.71,2023-02-10,2023,2,10,4,34.1775
127,296,5,4,445.73,1782.9,2023-10-02,2023,10,2,0,445.725
128,344,47,4,227.94,911.74,2023-08-04,2023,8,4,4,227.935
129,138,3,4,286.73,1146.92,2023-06-29,2023,6,29,3,286.73
130,223,105,3,288.19,864.56,2023-12-03,2023,12,3,6,288.18666666666667
131,410,41,4,310.56,1242.26,2023-08-23,2023,8,23,2,310.565
132,494,119,4,104.18,416.74,2023-06-01,2023,6,1,3,104.185
133,416,2,1,187.36,187.36,2023-02-26,2023,2,26,6,187.36
134,381,45,1,346.47,346.47,2023-10-28,2023,10,28,5,346.47
135,206,71,3,375.99,1127.97,2023-05-15,2023,5,15,0,375.99
136,181,72,2,442.02,884.04,2023-09-10,2023,9,10,6,442.02
137,473,111,4,250.34,1001.36,2023-08-18,2023,8,18,4,250.34
138,32,54,4,495.85,1983.39,2023-11-16,2023,11,16,3,495.8475
139,359,98,4,243.87,975.48,2023-12-15,2023,12,15,4,243.87
140,271,89,1,217.12,217.12,2023-02-22,2023,2,22,2,217.12
141,98,44,4,311.47,1245.88,2023-06-14,2023,6,14,2,311.47
142,261,12,2,518.54,1037.08,2023-12-20,2023,12,20,2,518.54
143,284,90,4,24.41,97.65,2023-06-11,2023,6,11,6,24.4125
144,442,13,1,219.19,219.19,2023-12-03,2023,12,3,6,219.19
145,200,30,4,490.95,1963.81,2023-12-17,2023,12,17,6,490.9525
146,331,96,2,345.14,690.29,2023-07-11,2023,7,11,1,345.145
147,90,20,4,209.8,839.19,2023-12-04,2023,12,4,0,209.7975
148,146,9,1,118.07,118.07,2023-11-03,2023,11,3,4,118.07
149,51,6,4,460.01,1840.05,2023-05-08,2023,5,8,0,460.0125
150,243,23,4,447.15,1788.61,2023-08-15,2023,8,15,1,447.1525
151,190,73,2,7.91,15.81,2023-06-18,2023,6,18,6,7.905
152,433,99,2,144.62,289.24,2023-10-28,2023,10,28,5,144.62
153,313,79,3,102.58,307.74,2023-03-21,2023,3,21,1,102.58
154,155,15,4,101.51,406.06,2023-11-22,2023,11,22,2,101.515
155,479,101,2,232.37,464.74,2023-11-27,2023,11,27,0,232.37
156,267,113,3,166.05,498.15,2023-07-24,2023,7,24,0,166.04999999999998
157,186,86,1,399.5,399.5,2023-08-09,2023,8,9,2,399.5
158,72,35,2,145.41,290.83,2023-03-22,2023,3,22,2,145.415
159,109,16,2,179.69,359.37,2023-06-04,2023,6,4,6,179.685
160,112,64,2,242.55,485.1,2023-10-19,2023,10,19,3,242.55
161,409,98,3,297.17,891.5,2023-01-03,2023,1,3,1,297.1666666666667
162,270,41,3,244.93,734.8,2023-12-17,2023,12,17,6,244.9333333333333
163,99,5,2,351.46,702.92,2023-11-12,2023,11,12,6,351.46
164,102,74,2,404.02,808.03,2023-08-27,2023,8,27,6,404.015
165,82,105,1,334.35,334.35,2023-08-10,2023,8,10,3,334.35
166,79,106,4,386.6,1546.39,2023-02-24,2023,2,24,4,386.5975
167,173,107,2,122.29,244.59,2023-04-23,2023,4,23,6,122.295
168,62,102,3,360.07,1080.21,2023-04-19,2023,4,19,2,360.07
169,157,83,3,260.08,780.23,2023-07-19,2023,7,19,2,260.07666666666665
170,374,49,4,125.43,501.73,2023-02-20,2023,2,20,0,125.4325
171,353,102,3,357.27,1071.8,2023-03-26,2023,3,26,6,357.26666666666665
172,76,9,1,138.64,138.64,2023-06-25,2023,6,25,6,138.64
173,383,107,4,130.78,523.12,2023-07-30,2023,7,30,6,130.78
174,270,110,3,123.35,370.04,2023-08-06,2023,8,6,6,123.34666666666668
175,347,113,2,214.64,429.29,2023-12-09,2023,12,9,5,214.645
176,35,1,2,450.44,900.87,2023-03-06,2023,3,6,0,450.435
177,36,54,3,488.11,1464.32,2023-06-24,2023,6,24,5,488.1066666666666
178,430,67,3,136.41,409.23,2023-05-24,2023,5,24,2,136.41
179,452,8,2,332.7,665.39,2023-12-22,2023,12,22,4,332.695
180,91,39,3,485.72,1457.16,2023-09-28,2023,9,28,3,485.72
181,295,15,4,93.78,375.13,2023-07-07,2023,7,7,4,93.7825
182,134,58,4,125.49,501.95,2023-09-27,2023,9,27,2,125.4875
183,177,111,2,309.47,618.95,2023-12-20,2023,12,20,2,309.475
184,90,87,1,572.75,572.75,2023-08-29,2023,8,29,1,572.75
185,345,47,3,205.21,615.62,2023-06-23,2023,6,23,4,205.20666666666668
186,486,42,4,331.37,1325.49,2023-06-13,2023,6,13,1,331.3725
187,185,2,4,151.42,605.69,2023-08-17,2023,8,17,3,151.4225
188,8,72,2,426.99,853.98,2023-12-23,2023,12,23,5,426.99
189,399,94,4,184.96,739.83,2023-09-05,2023,9,5,1,184.9575
190,210,57,3,256.13,768.4,2023-07-07,2023,7,7,4,256.1333333333333
191,263,58,2,118.68,237.36,2023-05-22,2023,5,22,0,118.68
192,493,43,4,273.9,1095.6,2023-09-17,2023,9,17,6,273.9
193,219,118,3,166.49,499.48,2023-06-08,2023,6,8,3,166.49333333333334
194,97,28,3,484.56,1453.69,2023-03-19,2023,3,19,6,484.56333333333333
195,365,102,3,437.33,1311.98,2023-01-07,2023,1,7,5,437.32666666666665
196,400,40,3,108.72,326.17,2023-05-28,2023,5,28,6,108.72333333333334
197,210,14,3,225.89,677.68,2023-06-20,2023,6,20,1,225.89333333333332
198,100,105,4,240.92,963.67,2023-05-24,2023,5,24,2,240.9175
199,271,102,2,363.57,727.15,2023-07-15,2023,7,15,5,363.575
200,124,99,3,132.11,396.33,2023-04-04,2023,4,4,1,132.10999999999999
201,186,63,3,407.0,1221.0,2023-09-28,2023,9,28,3,407.0
202,215,68,1,401.48,401.48,2023-12-01,2023,12,1,4,401.48
203,434,23,1,350.54,350.54,2023-10-16,2023,10,16,0,350.54
204,242,27,2,241.86,483.72,2023-01-24,2023,1,24,1,241.86
205,383,58,3,154.89,464.68,2023-12-01,2023,12,1,4,154.89333333333335
206,292,83,2,271.02,542.04,2023-10-02,2023,10,2,0,271.02
207,465,10,2,348.89,697.78,2023-12-29,2023,12,29,4,348.89
208,187,70,1,197.39,197.39,2023-04-15,2023,4,15,5,197.39
209,456,78,4,122.48,489.93,2023-03-22,2023,3,22,2,122.4825
210,332,10,2,408.68,817.36,2023-01-03,2023,1,3,1,408.68
211,449,42,4,420.89,1683.55,2023-03-09,2023,3,9,3,420.8875
212,486,110,3,136.42,409.26,2023-09-05,2023,9,5,1,136.42
213,193,1,1,400.21,400.21,2023-01-15,2023,1,15,6,400.21
214,400,79,3,123.09,369.27,2023-04-15,2023,4,15,5,123.08999999999999
215,221,93,2,275.36,550.73,2023-04-10,2023,4,10,0,275.365
216,367,93,2,319.55,639.1,2023-09-26,2023,9,26,1,319.55
217,358,58,3,137.57,412.72,2023-07-26,2023,7,26,2,137.57333333333335
218,146,79,4,139.05,556.19,2023-02-02,2023,2,2,3,139.0475
219,322,44,3,343.51,1030.52,2023-11-01,2023,11,1,2,343.50666666666666
220,239,109,1,360.29,360.29,2023-06-24,2023,6,24,5,360.29
221,409,24,4,326.89,1307.55,2023-02-18,2023,2,18,5,326.8875
222,473,34,2,541.57,1083.14,2023-08-30,2023,8,30,2,541.57
223,26,100,3,55.21,165.64,2023-04-01,2023,4,1,5,55.21333333333333
224,199,63,4,418.51,1674.02,2023-09-14,2023,9,14,3,418.505
225,99,45,1,392.28,392.28,2023-11-01,2023,11,1,2,392.28
226,392,79,1,118.16,118.16,2023-05-07,2023,5,7,6,118.16
227,463,23,3,421.05,1263.14,2023-05-25,2023,5,25,3,421.0466666666667
228,124,67,1,135.63,135.63,2023-09-15,2023,9,15,4,135.63
229,342,22,1,37.68,37.68,2023-04-01,2023,4,1,5,37.68
230,145,78,2,173.84,347.68,2023-09-13,2023,9,13,2,173.84
231,97,57,4,305.86,1223.45,2023-12-21,2023,12,21,3,305.8625
232,36,72,3,384.44,1153.33,2023-10-29,2023,10,29,6,384.4433333333333
233,105,27,4,318.44,1273.78,2023-09-18,2023,9,18,0,318.445
234,169,63,3,359.66,1078.98,2023-10-13,2023,10,13,4,359.66
235,425,96,2,421.26,842.53,2023-02-12,2023,2,12,6,421.265
236,176,1,3,437.97,1313.91,2023-03-27,2023,3,27,0,437.97
237,205,6,3,374.78,1124.33,2023-09-05,2023,9,5,1,374.77666666666664
238,434,78,3,162.91,488.72,2023-09-11,2023,9,11,0,162.90666666666667
239,299,68,1,570.64,570.64,2023-04-05,2023,4,5,2,570.64
240,34,6,4,428.11,1712.44,2023-10-12,2023,10,12,3,428.11
241,89,88,4,183.08,732.3,2023-04-20,2023,4,20,3,183.075
242,496,32,3,42.81,128.42,2023-08-09,2023,8,9,2,42.806666666666665
243,139,31,2,196.07,392.14,2023-02-21,2023,2,21,1,196.07
244,481,45,3,306.67,920.02,2023-10-19,2023,10,19,3,306.67333333333335
245,281,47,3,201.21,603.62,2023-10-02,2023,10,2,0,201.20666666666668
246,206,26,1,297.45,297.45,2023-10-12,2023,10,12,3,297.45
247,301,117,3,367.73,1103.18,2023-01-30,2023,1,30,0,367.7266666666667
248,20,39,2,504.2,1008.41,2023-04-13,2023,4,13,3,504.205
249,247,115,3,393.93,1181.79,2023-08-10,2023,8,10,3,393.93
250,321,8,2,300.81,601.61,2023-03-13,2023,3,13,0,300.805
251,500,92,2,37.15,74.3,2023-03-25,2023,3,25,5,37.15
252,76,7,2,461.42,922.84,2023-02-10,2023,2,10,4,461.42
253,425,84,2,157.08,314.16,2023-02-07,2023,2,7,1,157.08
254,491,7,2,491.63,983.27,2023-06-11,2023,6,11,6,491.635
255,153,42,2,301.37,602.74,2023-11-21,2023,11,21,1,301.37
256,267,119,2,153.69,307.39,2023-12-05,2023,12,5,1,153.695
257,80,49,4,138.34,553.36,2023-02-17,2023,2,17,4,138.34
258,301,53,4,454.75,1819.02,2023-04-17,2023,4,17,0,454.755
259,154,73,4,7.93,31.7,2023-04-17,2023,4,17,0,7.925
260,61,67,1,143.34,143.34,2023-01-10,2023,1,10,1,143.34
261,272,1,4,540.04,2160.16,2023-09-14,2023,9,14,3,540.04
262,130,19,2,304.74,609.47,2023-01-05,2023,1,5,3,304.735
263,496,19,2,270.44,540.87,2023-01-03,2023,1,3,1,270.435
264,12,60,3,11.43,34.29,2023-06-30,2023,6,30,4,11.43
265,214,1,3,534.41,1603.22,2023-09-15,2023,9,15,4,534.4066666666666
266,72,120,3,294.45,883.34,2023-07-29,2023,7,29,5,294.44666666666666
267,349,15,3,97.81,293.43,2023-01-01,2023,1,1,6,97.81
268,177,95,4,216.9,867.6,2023-08-19,2023,8,19,5,216.9
269,381,31,4,210.07,840.27,2023-07-28,2023,7,28,4,210.0675
270,186,89,1,195.06,195.06,2023-04-21,2023,4,21,4,195.06
271,30,47,4,259.62,1038.48,2023-05-02,2023,5,2,1,259.62
272,395,28,2,495.3,990.6,2023-03-14,2023,3,14,1,495.3
273,237,97,3,438.83,1316.49,2023-02-16,2023,2,16,3,438.83
274,41,17,2,185.69,371.37,2023-01-08,2023,1,8,6,185.685
275,305,10,2,375.78,751.57,2023-03-05,2023,3,5,6,375.785
276,15,104,4,428.9,1715.58,2023-10-12,2023,10,12,3,428.895
277,63,107,4,145.61,582.42,2023-01-25,2023,1,25,2,145.605
278,178,14,4,207.2,828.79,2023-05-20,2023,5,20,5,207.1975
279,206,119,4,136.63,546.51,2023-09-17,2023,9,17,6,136.6275
280,245,23,2,453.33,906.66,2023-05-21,2023,5,21,6,453.33
281,45,17,3,221.45,664.34,2023-07-13,2023,7,13,3,221.4466666666667
282,26,84,1,197.72,197.72,2023-03-21,2023,3,21,1,197.72
283,415,11,2,105.11,210.22,2023-10-26,2023,10,26,3,105.11
284,2,66,3,44.97,134.9,2023-03-29,2023,3,29,2,44.96666666666667
285,115,92,3,36.93,110.78,2023-07-06,2023,7,6,3,36.92666666666667
286,430,22,1,30.04,30.04,2023-06-07,2023,6,7,2,30.04
287,344,97,3,470.28,1410.85,2023-02-01,2023,2,1,2,470.2833333333333
288,242,91,2,44.04,88.07,2023-09-06,2023,9,6,2,44.035
289,114,82,2,380.29,760.58,2023-09-10,2023,9,10,6,380.29
290,485,47,2,199.05,398.09,2023-02-19,2023,2,19,6,199.045
291,431,88,2,197.77,395.53,2023-08-27,2023,8,27,6,197.765
292,339,18,1,331.86,331.86,2023-10-17,2023,10,17,1,331.86
293,300,33,2,92.68,185.35,2023-07-06,2023,7,6,3,92.675
294,61,16,3,182.03,546.08,2023-04-25,2023,4,25,1,182.02666666666667
295,247,91,4,39.52,158.07,2023-06-20,2023,6,20,1,39.5175
296,55,35,4,121.12,484.47,2023-07-12,2023,7,12,2,121.1175
297,409,99,3,143.96,431.88,2023-03-11,2023,3,11,5,143.96
298,394,2,1,201.37,201.37,2023-08-30,2023,8,30,2,201.37
299,13,59,2,339.64,679.28,2023-08-09,2023,8,9,2,339.64
300,106,96,3,447.71,1343.14,2023-07-06,2023,7,6,3,447.71333333333337
301,110,107,1,141.78,141.78,2023-02-02,2023,2,2,3,141.78
302,484,117,4,355.1,1420.41,2023-02-01,2023,2,1,2,355.1025
303,82,44,4,270.01,1080.05,2023-11-14,2023,11,14,1,270.0125
304,166,6,4,464.55,1858.19,2023-01-24,2023,1,24,1,464.5475
305,190,34,4,482.18,1928.71,2023-12-24,2023,12,24,6,482.1775
306,339,32,2,38.39,76.78,2023-01-29,2023,1,29,6,38.39
307,431,48,4,352.08,1408.32,2023-05-01,2023,5,1,0,352.08
308,384,23,4,385.18,1540.7,2023-04-17,2023,4,17,0,385.175
309,481,56,2,122.28,244.55,2023-04-19,2023,4,19,2,122.275
310,376,15,3,102.0,306.0,2023-11-29,2023,11,29,2,102.0
311,322,89,1,231.56,231.56,2023-06-07,2023,6,7,2,231.56
312,166,103,1,124.94,124.94,2023-06-09,2023,6,9,4,124.94
313,378,28,1,480.96,480.96,2023-03-11,2023,3,11,5,480.96
314,78,120,3,230.81,692.43,2023-04-13,2023,4,13,3,230.80999999999997
315,10,87,1,438.76,438.76,2023-12-25,2023,12,25,0,438.76
316,220,6,4,417.96,1671.83,2023-12-12,2023,12,12,1,417.9575
317,28,59,4,467.55,1870.21,2023-07-11,2023,7,11,1,467.5525
318,119,3,4,229.88,919.53,2023-06-09,2023,6,9,4,229.8825
319,167,86,2,481.51,963.03,2023-12-10,2023,12,10,6,481.515
320,77,27,1,252.66,252.66,2023-08-19,2023,8,19,5,252.66
321,363,50,3,14.98,44.93,2023-01-26,2023,1,26,3,14.976666666666667
322,417,44,3,263.72,791.17,2023-01-13,2023,1,13,4,263.7233333333333
323,97,12,1,423.03,423.03,2023-07-27,2023,7,27,3,423.03
324,145,100,2,59.15,118.3,2023-04-30,2023,4,30,6,59.15
325,477,30,4,524.26,2097.05,2023-04-25,2023,4,25,1,524.2625
326,456,24,4,271.21,1084.83,2023-08-11,2023,8,11,4,271.2075
327,294,36,2,450.62,901.25,2023-05-21,2023,5,21,6,450.625
328,370,20,3,222.25,666.75,2023-03-28,2023,3,28,1,222.25
329,393,62,2,348.21,696.42,2023-09-15,2023,9,15,4,348.21
330,385,97,3,426.58,1279.75,2023-09-01,2023,9,1,4,426.5833333333333
331,319,84,4,156.05,624.2,2023-05-24,2023,5,24,2,156.05
332,494,2,3,186.23,558.68,2023-09-22,2023,9,22,4,186.22666666666666
333,234,23,2,410.25,820.5,2023-07-17,2023,7,17,0,410.25
334,43,97,3,394.23,1182.69,2023-06-25,2023,6,25,6,394.23
335,397,89,2,255.41,510.83,2023-11-08,2023,11,8,2,255.415
336,347,6,3,443.62,1330.87,2023-02-08,2023,2,8,2,443.6233333333333
337,250,105,1,232.32,232.32,2023-08-05,2023,8,5,5,232.32
338,269,34,3,500.34,1501.03,2023-07-16,2023,7,16,6,500.3433333333333
339,14,24,2,323.79,647.58,2023-04-28,2023,4,28,4,323.79
340,166,1,3,513.12,1539.35,2023-05-07,2023,5,7,6,513.1166666666667
341,445,12,4,464.07,1856.26,2023-01-18,2023,1,18,2,464.065
342,261,81,3,510.83,1532.48,2023-09-17,2023,9,17,6,510.82666666666665
343,372,82,2,468.22,936.43,2023-03-11,2023,3,11,5,468.215
344,226,70,1,219.32,219.32,2023-09-12,2023,9,12,1,219.32
345,53,69,4,297.52,1190.08,2023-08-06,2023,8,6,6,297.52
346,170,35,2,158.92,317.83,2023-05-31,2023,5,31,2,158.915
347,223,76,2,12.19,24.39,2023-11-11,2023,11,11,5,12.195
348,287,26,2,311.52,623.04,2023-07-11,2023,7,11,1,311.52
349,368,77,2,61.28,122.56,2023-11-27,2023,11,27,0,61.28
350,298,114,2,371.24,742.49,2023-03-26,2023,3,26,6,371.245
351,185,14,1,207.56,207.56,2023-05-22,2023,5,22,0,207.56
352,280,11,1,128.24,128.24,2023-08-25,2023,8,25,4,128.24
353,277,92,4,36.09,144.36,2023-01-24,2023,1,24,1,36.09
354,240,40,4,88.68,354.73,2023-10-30,2023,10,30,0,88.6825
355,458,32,1,45.14,45.14,2023-08-03,2023,8,3,3,45.14
356,406,61,1,190.36,190.36,2023-05-11,2023,5,11,3,190.36
357,434,64,1,312.86,312.86,2023-08-28,2023,8,28,0,312.86
358,280,22,4,26.69,106.75,2023-03-28,2023,3,28,1,26.6875
359,197,70,2,224.37,448.74,2023-07-27,2023,7,27,3,224.37
360,500,9,2,125.9,251.81,2023-03-20,2023,3,20,0,125.905
361,335,112,2,63.96,127.91,2023-08-18,2023,8,18,4,63.955
362,154,12,3,398.86,1196.58,2023-12-19,2023,12,19,1,398.85999999999996
363,211,108,3,499.38,1498.13,2023-05-09,2023,5,9,1,499.3766666666667
364,69,24,1,286.98,286.98,2023-08-27,2023,8,27,6,286.98
365,458,7,2,509.72,1019.43,2023-06-20,2023,6,20,1,509.715
366,183,58,1,115.57,115.57,2023-09-05,2023,9,5,1,115.57
367,472,48,1,307.85,307.85,2023-07-14,2023,7,14,4,307.85
368,386,80,1,336.59,336.59,2023-07-02,2023,7,2,6,336.59
369,15,11,3,120.52,361.57,2023-02-21,2023,2,21,1,120.52333333333333
370,273,20,1,194.28,194.28,2023-09-20,2023,9,20,2,194.28
371,19,6,1,433.73,433.73,2023-08-28,2023,8,28,0,433.73
372,222,93,3,323.53,970.58,2023-11-16,2023,11,16,3,323.5266666666667
373,41,90,4,19.01,76.05,2023-03-06,2023,3,6,0,19.0125
374,266,8,2,401.46,802.91,2023-10-01,2023,10,1,6,401.455
